video_name,event,start_time,end_time
v_ApplyEyeMakeup_g01_c01.avi,ApplyEyeMakeup,17:43:20,17:43:39
v_ApplyEyeMakeup_g01_c03.avi,ApplyEyeMakeup,18:33:02,18:33:26
v_ApplyEyeMakeup_g01_c04.avi,ApplyEyeMakeup,19:42:58,19:44:41
v_ApplyEyeMakeup_g01_c05.avi,ApplyEyeMakeup,16:17:09,16:18:21
v_ApplyEyeMakeup_g02_c01.avi,ApplyEyeMakeup,07:40:50,07:41:18
v_ApplyEyeMakeup_g02_c02.avi,ApplyEyeMakeup,21:08:22,21:09:15
v_ApplyEyeMakeup_g02_c03.avi,ApplyEyeMakeup,10:20:54,10:21:29
v_ApplyEyeMakeup_g02_c04.avi,ApplyEyeMakeup,19:06:29,19:07:34
v_ApplyEyeMakeup_g03_c01.avi,ApplyEyeMakeup,11:26:50,11:27:36
v_ApplyEyeMakeup_g03_c03.avi,ApplyEyeMakeup,13:47:05,13:47:22
v_ApplyEyeMakeup_g03_c04.avi,ApplyEyeMakeup,08:35:45,08:37:41
v_ApplyEyeMakeup_g03_c05.avi,ApplyEyeMakeup,16:26:14,16:26:51
v_ApplyEyeMakeup_g03_c06.avi,ApplyEyeMakeup,21:59:00,22:00:56
v_ApplyEyeMakeup_g04_c01.avi,ApplyEyeMakeup,19:55:17,19:56:04
v_ApplyEyeMakeup_g04_c03.avi,ApplyEyeMakeup,20:14:32,20:15:47
v_ApplyEyeMakeup_g04_c04.avi,ApplyEyeMakeup,14:05:01,14:05:46
v_ApplyEyeMakeup_g04_c06.avi,ApplyEyeMakeup,07:41:52,07:42:41
v_ApplyEyeMakeup_g04_c07.avi,ApplyEyeMakeup,06:23:40,06:24:08
v_ApplyEyeMakeup_g05_c01.avi,ApplyEyeMakeup,14:38:22,14:39:08
v_ApplyEyeMakeup_g05_c03.avi,ApplyEyeMakeup,14:42:00,14:43:21
v_ApplyEyeMakeup_g05_c04.avi,ApplyEyeMakeup,17:00:44,17:02:35
v_ApplyEyeMakeup_g05_c05.avi,ApplyEyeMakeup,08:14:02,08:14:25
v_ApplyEyeMakeup_g05_c07.avi,ApplyEyeMakeup,08:39:56,08:41:25
v_ApplyEyeMakeup_g06_c01.avi,ApplyEyeMakeup,10:36:30,10:38:06
v_ApplyEyeMakeup_g06_c02.avi,ApplyEyeMakeup,18:57:58,18:59:09
v_ApplyEyeMakeup_g06_c04.avi,ApplyEyeMakeup,16:13:25,16:14:19
v_ApplyEyeMakeup_g06_c07.avi,ApplyEyeMakeup,08:45:06,08:45:57
v_ApplyEyeMakeup_g07_c01.avi,ApplyEyeMakeup,07:32:25,07:33:47
v_ApplyEyeMakeup_g07_c02.avi,ApplyEyeMakeup,16:47:57,16:49:43
v_ApplyEyeMakeup_g07_c03.avi,ApplyEyeMakeup,16:46:01,16:47:42
v_ApplyEyeMakeup_g07_c04.avi,ApplyEyeMakeup,10:01:20,10:02:58
v_ApplyEyeMakeup_g07_c05.avi,ApplyEyeMakeup,12:41:58,12:43:42
v_ApplyEyeMakeup_g07_c06.avi,ApplyEyeMakeup,09:51:07,09:52:00
v_ApplyEyeMakeup_g07_c07.avi,ApplyEyeMakeup,15:34:28,15:35:17
v_ApplyEyeMakeup_g08_c01.avi,ApplyEyeMakeup,15:14:35,15:15:42
v_ApplyEyeMakeup_g08_c02.avi,ApplyEyeMakeup,18:45:34,18:47:25
v_ApplyEyeMakeup_g08_c03.avi,ApplyEyeMakeup,14:38:11,14:39:20
v_ApplyEyeMakeup_g08_c04.avi,ApplyEyeMakeup,09:28:13,09:29:14
v_ApplyEyeMakeup_g09_c01.avi,ApplyEyeMakeup,16:34:22,16:35:02
v_ApplyEyeMakeup_g09_c03.avi,ApplyEyeMakeup,17:01:40,17:03:16
v_ApplyEyeMakeup_g09_c04.avi,ApplyEyeMakeup,20:29:07,20:30:10
v_ApplyEyeMakeup_g09_c06.avi,ApplyEyeMakeup,15:31:55,15:33:06
v_ApplyEyeMakeup_g09_c07.avi,ApplyEyeMakeup,19:01:54,19:02:15
v_ApplyEyeMakeup_g10_c04.avi,ApplyEyeMakeup,14:08:26,14:09:39
v_ApplyEyeMakeup_g11_c01.avi,ApplyEyeMakeup,13:31:34,13:32:41
v_ApplyEyeMakeup_g11_c02.avi,ApplyEyeMakeup,22:32:11,22:34:03
v_ApplyEyeMakeup_g11_c05.avi,ApplyEyeMakeup,12:00:23,12:01:20
v_ApplyEyeMakeup_g12_c01.avi,ApplyEyeMakeup,19:07:16,19:07:48
v_ApplyEyeMakeup_g12_c02.avi,ApplyEyeMakeup,11:18:10,11:19:33
v_ApplyEyeMakeup_g12_c05.avi,ApplyEyeMakeup,06:00:10,06:00:32
v_ApplyEyeMakeup_g12_c06.avi,ApplyEyeMakeup,10:34:54,10:36:45
v_ApplyEyeMakeup_g13_c01.avi,ApplyEyeMakeup,16:05:26,16:07:25
v_ApplyEyeMakeup_g13_c03.avi,ApplyEyeMakeup,21:46:08,21:47:24
v_ApplyEyeMakeup_g13_c04.avi,ApplyEyeMakeup,22:37:50,22:39:17
v_ApplyEyeMakeup_g13_c05.avi,ApplyEyeMakeup,20:43:59,20:44:34
v_ApplyEyeMakeup_g14_c01.avi,ApplyEyeMakeup,07:29:32,07:30:37
v_ApplyEyeMakeup_g14_c04.avi,ApplyEyeMakeup,15:35:50,15:36:22
v_ApplyEyeMakeup_g14_c05.avi,ApplyEyeMakeup,19:09:11,19:09:32
